# 데이터를 변경하려면:							
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에							
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.							
#     다운로드한 파일 이름을 library_video_data.tsv 으로 변경합니다.							
#     테스트할 기기의 Movies/Library에 tsv 파일과 thumbnail, 동영상파일을 복사해 넣습니다.							
#          Category field는 코드에서 사용하는 부분이기 때문에 한번 추가 되면 변경하지 마시고 categoryname을 변경해주시기 바랍니다							
#id	category	categoryname	title	thumbnail	filename	lyrics	info
tutorial1	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia tabuleti	tutorial1.png	sw_vdo_tut_tablet.mp4	Jifunze namna ya kutumia tabuleti vizuri. Tuna maelekezo kidogo ya namna ya kurekodi na kubeba tabuleti vizuri. Unaweza kujifunza nini zaidi kwenye kutumia tabuleti?	"Namna ya kutumia tabuleti" \n \n Filmed by: Tibaz Productions\n Edited by: Ryan Massey\n
tutorial2	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutunza tabuleti	tutorial2.png	sw_vdo_tut_care.mp4	Jifunze namna ya kutunza tabuleti yako. Iweke mbali na uchafu na maji. Ni jinsi gani tena tunaweza kutunza tabuleti?	"Namna ya kutunza tabuleti" \n \n Filmed by: Tibaz Productions\n Edited by: Ryan Massey\n
tutorial3	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kuchaji tabuleti	tutorial3.png	sw_vdo_tut_charge.mp4	Ukufunzi huu ni ya watu wazima. Unaelezea kwa ufupi jinsi ya kupatisha moto tablet hii.	"Namna ya kuchaji tabuleti" \n \n Filmed by: Tibaz Productions\n Edited by: Ryan Massey\n
tutorial4	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia tabuleti darasani	tutorial4.png	sw_vdo_tut_class.mp4	Ukufunzi hii ni ya watu wazima. Unaelezea madhumuni ya mchezo, na jinsi inavyoweza kutumiwa na vikundi vya watoto au darasani.	"Namna ya kutumia tabuleti darasani" \n \n Filmed by: Tibaz Productions\n Edited by: Ryan Massey\n
tutorial5	tutorial	Namna ya kutumia shule ya Kitkit	Kupitia mchezo wa shule ya Kitkit	logo_sw.png	sw_vdo_tut_gameplay.mp4	Angalia video hii kisha tambua nini kimo ndani ya shule ya Kitkit. Angalia namna unavyochezwa kisha ujue nini cha kufanya kwenye mchezo.	"Kupitia mchezo wa shule ya Kitkit"\n \n Produced by : Sangjun Park\n
tutorial6	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia kitabu cha kielektroniki	tutorial6.png	sw_vdo_tut_book.mp4	Namna ya kutumia kitabu cha kielektroniki	Namna ya kutumia kitabu cha kielektroniki"\n \n Produced by: Ryan Massey In collaboration with Ubongo Learning Limited
tutorial7	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia vifaa	tutorial7.png	sw_vdo_tut_tools.mp4	Namna ya kutumia vifaa	"Namna ya kutumia vifaa" \n \n Produced by: Ryan Massey
tutorial8	tutorial	Namna ya kutumia shule ya Kitkit	Namna ya kutumia maktaba	tutorial8.png	sw_vdo_tut_library.mp4	Namna ya kutumia maktaba	"Namna ya kutumia maktaba" \n \n Produced by: Ryan Massey
mv1	music_video	Nyimbo za mafunzo	Maumbo ya rangi	Shapes.png	sw_vdo_shapes.mp4	Mimi ni mraba\n  Mraba wa rangi ya bluu bluu\n  Pande zangu nne hapa\n  kona zangu nne hapo\n  Mimi ni mraba\n  \n  Mimi ni pembetatu\n  Pembetatu ya rangi ya kijani\n  Pande zangu tatu hapa\n  kona zangu tatu hapo\n  Mimi ni pembetatu\n  \n  Mimi ni pembenne\n  Pembenne ya rangi ya zambarau\n  Pande mbili ni fupi, mbili ni ndefu\n  na zipo kona nne\n  Mimi ni pembenne\n  \n  Mimi ni duara\n  Duara jekundu jekunda\n  Mduara, mduara na mduara.\n  Mimi ni duara\n  \n  Mimi ni mviringo (kama yai)\n  Mviringo wa njano njano\n  Mviringo mrefu, ninyooshe\n  Mimi ni mviringo (kama yai)\n	"Maumbo ya rangi"\n \n Video produced by: Ryan Massey\n Music composed and produced by: Brian Taylor\n Lyrics by: Yeongji Choi\n
mv2	music_video	Nyimbo za mafunzo	Vifaranga 100	100chickens.png	sw_vdo_100chickens.mp4	Unaweza kuhesabu?\n  Unaweza kuhesabu?\n  Unaweza kuhesabu vifaranga vyangu?\n  Naweza kuhesabu, Naweza kuhesabu\n  Naweza kuhesabu vifaranga vyako.\n  \n  1, 2, 3, 4, 5, 6, 7, 8, 9, 10\n  *peep peep*\n  Vifaranga 10, vifaranga 10\n  Vifaranga 10 *peep peep*\n  \n  11, 12, 13, 14, 15, 16, 17, 18, 19, 20 \n  *peep peep*\n  Vifaranga 20, vifaranga 20\n  Vifaranga 20 *peep peep*\n  \n  21, 22, 23, 24, 25, 26, 27, 28, 29, 30 \n  *peep peep*\n  Vifaranga 30, vifaranga 30\n  Vifaranga 30 *peep peep*\n  \n  31, 32, 33, 34, 35, 36, 37, 38, 39, 40\n  *peep peep*\n  Vifaranga 40, vifaranga 40\n  Vifaranga 40 *peep peep*\n  \n  41, 42, 43, 44, 45, 46, 47, 48, 49, 50\n  *peep peep*\n  Vifaranga 50, vifaranga 50\n  Vifaranga 50 *peep peep*\n  \n  51, 52, 53, 54, 55, 56, 57, 58 59, 60\n  *peep peep*\n  Vifaranga 60, vifaranga 60\n  Vifaranga 60 *peep peep*\n  \n  61, 62, 63, 64, 65, 66, 67, 68, 69, 70\n  *peep peep*\n  Vifaranga 70, vifaranga 70\n  Vifaranga 70 *peep peep*\n  \n  71, 72, 73, 74, 75, 76, 77, 78, 79, 80\n  *peep peep*\n  Vifaranga 80, vifaranga 80\n  Vifaranga 80 *peep peep*\n  \n  81, 82, 83, 84, 85, 86, 87, 88, 89, 90\n  *peep peep*\n  Vifaranga 90, vifaranga 90\n  Vifaranga 90 *peep peep*\n  \n  91, 92, 93, 94, 95, 96, 97, 98, 99, 100 \n  *peep peep*\n  Vifaranga 100, vifaranga 100\n  Vifaranga 100 *peep peep*\n	"Vifaranga 100"\n \n Video produced by: Ryan Massey\n Music composed and produced by: Brian Taylor\n Lyrics by: Yeongji Choi\n
mv3	music_video	Nyimbo za mafunzo	Wimbo wa herufi kuu	Vowels.png	sw_vdo_vowel.mp4	Hii ndiyo ‘a’ a…\n  Ina mkia mfupi \n  a…\n  \n  Hii ndiyo ‘e’ e…\n  Ina mkia mrefu \n  e…\n  \n  Hii ndiyo ‘i’ i…\n  Ina kofia juu \n  i…\n  \n  Hii ndiyo ‘o’ o…\n  Iko kama yai \n  o…\n  \n  Hii ndiyo ‘u’ u…\n  Iko kama kikombe\n  u…\n	"Wimbo wa herufi kuu"\n \n Video produced by: Ryan Massey\n Music produced by: Brian Taylor\n Song based on traditional children's song\n
mv4	music_video	Nyimbo za mafunzo	Najua kuhesabu namba	count10.png	sw_vdo_count10.mp4	Najua kuhesabu namba\n  moja mbili tatu\n  Nne tano sita saba nane tisa kumi\n  Vidole vya mikono yangu jumla yake kumi\n  Huku tano na huku tano jumla yake kumi\n  \n  Najua kuhesabu namba\n  moja mbili tatu\n  Nne tano sita saba nane tisa kumi\n  Vidole vya mikono yangu jumla yake kumi\n  Huku tano na huku tano jumla yake kumi\n  \n  1, 2, 3, 4, 5, 6, \n  7, 8, 9, 10 !\n  \n  1, 2, 3, 4, 5, 6, \n  7, 8, 9, 10 !\n	"Najua kuhesabu namba"\n \n Video produced by: Ryan Massey\n Music produced by: Brian Taylor\n Song based on traditional children's song\n
mv5	music_video	Nyimbo za mafunzo	Wimbo wa Herufi	abc.png	sw_vdo_abc.mp4	Tunasoma herufi\n  Tunasoma herufi\n  Aa Bb Ch ch Dd Ee Ff Gg\n  Hh Ii Jj Kk Ll Mm Nn\n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Oo Pp Rr Ss Tt Uu\n  Vv Ww Yy Zz \n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Aa Bb Ch ch Dd Ee Ff Gg\n  Hh Ii Jj Kk Ll Mm Nn\n  \n  Tunasoma herufi\n  Tunasoma herufi\n  Oo Pp Rr Ss Tt Uu\n  Vv Ww Yy Zz\n	"Wimbo wa herufi kuu"\n  \n  Video produced by: Ryan Massey\n  Music produced by: Brian Taylor\n  Song based on traditional children's song\n
mv6	music_video	Nyimbo za mafunzo	Nyosha Vidole Vitano!	ubcount5.png	sw_vdo_ub_count5.mp4	Nyosha Vidole Vitano!	"Nyosha Vidole Vitano!" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv7	music_video	Nyimbo za mafunzo	Hesabu Vidole Kumi	ubcount10.png	sw_vdo_ub_count10.mp4	Hesabu Vidole Kumi	"Hesabu Vidole Kumi" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv8	music_video	Nyimbo za mafunzo	Hesabu na Mamba!	ubcroc10.png	sw_vdo_ub_croc10.mp4a	Hesabu na Mamba!	"Hesabu na Mamba!" \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv9	music_video	Nyimbo za mafunzo	Treni ya Namba	ubtrain10.png	sw_vdo_ub_train10.mp4a	Treni ya Namba	"Treni ya Namba" \n \nProduced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
mv10	music_video	Nyimbo za mafunzo	Moja mpaka ishirini!	ubtruck20.png	sw_vdo_ub_truck20.mp4	Moja mpaka ishirini!	"Moja mpaka ishirini! " \n \n Produced by Ubongo Learning Limited. \n This video is by Ubongo is licensed under a Creative Commons Attribution-NoDerivatives 4.0 International License. The Akili and Me and Ubongo logos and all characters in this video, including but not limited to Akili, Little Lion, Happy Hippo, Mama Akili and Baba Akili and registereted trademarks or copyrights of Ubongo International and may not be used outside of this video without written permission from the owner.
vdo1	video	Video za mafunzo	Ndege ya maumbo	airshapes.png	sw_vdo_airshapes.mp4	Ndege ya maumbo	"Ndege ya maumbo" \n \n Video produced by: Ryan Massey \n Music by: David John Franco
vdo2	video	Video za mafunzo	Nusuduara	semicircles.png	sw_vdo_semicircle.mp4	Nusuduara	" Nusuduara" \n \n Video produced by: Ryan Massey \n Music by: David John Franco
vdo3	video	Video za mafunzo	Ndege yuko wapi?	bird.png	sw_vdo_311_t.mp4	Ndege yuko wapi?	"Ndege yuko wapi?" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo4	video	Video za mafunzo	Sura	face.png	sw_vdo_108_t.mp4	Sura	"Sura" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo5	video	Video za mafunzo	Mwili	body.png	sw_vdo_107_t.mp4	Mwili	"Mwili" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.
vdo6	video	Video za mafunzo	Kusoma pamoja: Usafiri	read.png	sw_vdo_101.mp4	Kusoma pamoga: usafiri	"Kusoma pamoga: usafiri" \n \n Video produced by: Ryan Massey \n Music by: David John Franco \n In collaboration with Ubongo Learning Limited.